,avg_reward,best_reward,episode,q_vals,avg_steps,best_steps
0,-1.0,-1,0,0.2555674612522125,7.0,7
1,-1.0,-1,5,0.2555674612522125,7.0,7
2,-1.0,-1,10,0.2555674612522125,7.0,7
3,-1.0,-1,15,0.2555674612522125,7.0,7
4,-1.0,-1,20,-0.08387827128171921,6.0,6
5,-1.0,-1,25,0.09140535444021225,6.0,6
6,-1.0,-1,30,0.3228021562099457,14.0,14
7,-1.0,-1,35,0.41929465532302856,15.0,15
8,-1.0,-1,40,0.3839986324310303,7.0,7
9,-1.0,-1,45,0.3120953440666199,6.0,6
10,-1.0,-1,50,0.18787798285484314,7.0,7
11,0.0,0,55,0.28827551007270813,250.0,250
12,-1.0,-1,60,0.19452567398548126,6.0,6
13,-1.0,-1,65,0.17619101703166962,15.0,15
14,-1.0,-1,70,0.2437431812286377,15.0,15
15,-1.0,-1,75,0.3950512707233429,35.0,35
16,-1.0,-1,80,0.16797445714473724,15.0,15
17,-1.0,-1,85,0.23799031972885132,35.0,35
18,-1.0,-1,90,0.14651179313659668,19.0,19
19,-1.0,-1,95,0.2979266047477722,13.0,13
20,-1.0,-1,100,0.10052631050348282,6.0,6
21,-1.0,-1,105,0.15464641153812408,6.0,6
22,-1.0,-1,110,0.0626029372215271,7.0,7
23,-1.0,-1,115,0.24595659971237183,7.0,7
24,-1.0,-1,120,0.1679258942604065,6.0,6
25,-1.0,-1,125,0.20258729159832,7.0,7
26,-1.0,-1,130,0.24070581793785095,6.0,6
27,-1.0,-1,135,0.11940363049507141,6.0,6
28,-1.0,-1,140,0.19534291326999664,14.0,14
29,-1.0,-1,145,0.1337963044643402,7.0,7
30,-1.0,-1,150,0.0018008648185059428,10.0,10
31,-1.0,-1,155,0.25653961300849915,7.0,7
32,-1.0,-1,160,0.2894226014614105,6.0,6
33,-1.0,-1,165,0.23606495559215546,8.0,8
34,-1.0,-1,170,0.16118310391902924,8.0,8
35,-1.0,-1,175,0.178169846534729,40.0,40
36,-1.0,-1,180,0.14705689251422882,7.0,7
37,-1.0,-1,185,0.11340869218111038,6.0,6
38,-1.0,-1,190,0.2562689185142517,6.0,6
39,-1.0,-1,195,0.2764805555343628,6.0,6
40,-1.0,-1,200,0.03182727098464966,6.0,6
41,-1.0,-1,205,0.1121930256485939,13.0,13
42,-1.0,-1,210,0.12444306910037994,6.0,6
43,-1.0,-1,215,0.14530891180038452,14.0,14
44,-1.0,-1,220,0.10161915421485901,6.0,6
45,-1.0,-1,225,0.09680171310901642,6.0,6
46,-1.0,-1,230,0.1500379890203476,13.0,13
47,-1.0,-1,235,0.1209464743733406,12.0,12
48,-1.0,-1,240,0.1764214038848877,16.0,16
49,-1.0,-1,245,0.06853172928094864,13.0,13
50,-1.0,-1,250,0.1825467348098755,6.0,6
51,-1.0,-1,255,0.13178299367427826,6.0,6
52,-1.0,-1,260,0.1319998949766159,6.0,6
53,-1.0,-1,265,-0.06560616195201874,12.0,12
54,-1.0,-1,270,-0.07933647930622101,6.0,6
55,-1.0,-1,275,-0.01535787247121334,6.0,6
56,-1.0,-1,280,0.008741135708987713,11.0,11
