,avg_reward,best_reward,episode,q_vals,avg_steps,best_steps
0,-1.0,-1,0,0.29314592480659485,5.0,5
1,-1.0,-1,50,0.21775221824645996,5.0,5
2,-1.0,-1,100,0.15505674481391907,7.0,7
3,-1.0,-1,150,0.11502406001091003,9.0,19
4,-1.0,-1,200,0.0430920384824276,16.8,23
5,-1.0,-1,250,0.06548044085502625,7.3,10
6,-1.0,-1,300,-0.02219036966562271,8.3,11
7,-1.0,-1,350,0.030910756438970566,18.1,22
8,-1.0,-1,400,-0.05658334493637085,14.1,24
9,-1.0,-1,450,-0.13700351119041443,13.1,19
10,-1.0,-1,500,-0.18156418204307556,20.0,23
11,-1.0,-1,550,-0.25628185272216797,13.7,22
12,-1.0,-1,600,-0.3761659264564514,5.7,12
13,-1.0,-1,650,-0.35038572549819946,8.1,25
14,-1.0,-1,700,-0.3073761463165283,10.2,22
15,-1.0,-1,750,-0.34580522775650024,14.7,24
16,-1.0,-1,800,-0.3386722803115845,10.2,28
17,-1.0,-1,850,-0.3518948554992676,16.3,23
18,-1.0,-1,900,-0.3827000558376312,10.3,23
19,-1.0,-1,950,-0.4062863290309906,19.3,25
20,-1.0,-1,1000,-0.47508227825164795,17.5,25
21,-1.0,-1,1050,-0.4655878245830536,9.4,15
22,-1.0,-1,1100,-0.5437446236610413,18.9,28
23,-1.0,-1,1150,-0.5503427982330322,9.0,19
24,-1.0,-1,1200,-0.5420952439308167,13.7,21
25,-1.0,-1,1250,-0.5321181416511536,13.4,22
26,-1.0,-1,1300,-0.5564383864402771,8.3,18
27,-1.0,-1,1350,-0.5718275308609009,11.8,21
28,-1.0,-1,1400,-0.5905091762542725,7.0,7
29,-1.0,-1,1450,-0.599738597869873,15.1,25
30,-1.0,-1,1500,-0.6618800163269043,11.4,17
31,-1.0,-1,1550,-0.6020253300666809,17.6,22
32,-1.0,-1,1600,-0.6623173356056213,8.7,12
33,-1.0,-1,1650,-0.6562521457672119,15.1,22
34,-1.0,-1,1700,-0.7009256482124329,15.6,22
35,-1.0,-1,1750,-0.7278649806976318,8.6,22
36,-1.0,-1,1800,-0.752914547920227,19.3,22
37,-1.0,-1,1850,-0.7793779969215393,11.4,18
38,-1.0,-1,1900,-0.8064669966697693,19.1,26
39,-1.0,-1,1950,-0.8025184273719788,15.6,22
40,-1.0,-1,2000,-0.8106721043586731,11.7,16
41,-1.0,-1,2050,-0.7861462831497192,14.0,24
42,-1.0,-1,2100,-0.8205851912498474,11.8,22
43,-1.0,-1,2150,-0.7958988547325134,13.7,26
44,-1.0,-1,2200,-0.8226326107978821,16.7,26
45,-1.0,-1,2250,-0.8077180981636047,11.8,18
46,-1.0,-1,2300,-0.837489664554596,9.4,23
47,-1.0,-1,2350,-0.8293215036392212,21.0,24
48,-1.0,-1,2400,-0.8732544779777527,20.3,24
49,-1.0,-1,2450,-0.8482681512832642,16.0,25
50,-1.0,-1,2500,-0.8662109971046448,9.1,13
51,-1.0,-1,2550,-0.8640621304512024,7.1,8
52,-1.0,-1,2600,-0.8839758634567261,20.6,26
53,-1.0,-1,2650,-0.8784410357475281,16.5,30
54,-1.0,-1,2700,-0.876167893409729,15.0,24
55,-1.0,-1,2750,-0.8808028101921082,17.7,23
56,-1.0,-1,2800,-0.8843610286712646,15.9,25
57,-1.0,-1,2850,-0.874450147151947,10.7,22
58,-1.0,-1,2900,-0.8771682381629944,5.0,5
59,-1.0,-1,2950,-0.8802432417869568,9.0,22
60,-1.0,-1,3000,-0.8884552717208862,10.0,22
61,-1.0,-1,3050,-0.8791781663894653,5.0,5
62,-1.0,-1,3100,-0.8854567408561707,9.4,13
63,-1.0,-1,3150,-0.8893917798995972,15.7,21
64,-1.0,-1,3200,-0.9033342599868774,8.0,17
65,-1.0,-1,3250,-0.9071918725967407,15.5,22
66,-1.0,-1,3300,-0.9092061519622803,19.5,22
67,-1.0,-1,3350,-0.8999627828598022,7.7,12
68,-1.0,-1,3400,-0.899772047996521,5.0,5
69,-1.0,-1,3450,-0.9027206301689148,20.8,23
70,-1.0,-1,3500,-0.8995776772499084,8.5,18
